"","Provincia","Act","code","Prov","1 Trim 1996","2 Trim 1996","3 Trim 1996","4 Trim 1996","1 Trim 1997","2 Trim 1997","3 Trim 1997","4 Trim 1997","1 Trim 1998","2 Trim 1998","3 Trim 1998","4 Trim 1998","1 Trim 1999","2 Trim 1999","3 Trim 1999","4 Trim 1999","1 Trim 2000","2 Trim 2000","3 Trim 2000","4 Trim 2000","1 Trim 2001","2 Trim 2001","3 Trim 2001","4 Trim 2001","1 Trim 2002","2 Trim 2002","3 Trim 2002","4 Trim 2002","1 Trim 2003","2 Trim 2003","3 Trim 2003","4 Trim 2003","1 Trim 2004","2 Trim 2004","3 Trim 2004","4 Trim 2004","1 Trim 2005","2 Trim 2005","3 Trim 2005","4 Trim 2005","1 Trim 2006","2 Trim 2006","3 Trim 2006","4 Trim 2006","1 Trim 2007","2 Trim 2007","3 Trim 2007","4 Trim 2007","1 Trim 2008","2 Trim 2008","3 Trim 2008","4 Trim 2008","1 Trim 2009","2 Trim 2009","3 Trim 2009","4 Trim 2009","1 Trim 2010","2 Trim 2010","3 Trim 2010","4 Trim 2010","1 Trim 2011","2 Trim 2011","3 Trim 2011","4 Trim 2011","1 Trim 2012","2 Trim 2012","3 Trim 2012","4 Trim 2012","1 Trim 2013","2 Trim 2013","3 Trim 2013","4 Trim 2013","1 Trim 2014","2 Trim 2014","3 Trim 2014","4 Trim 2014","1 Trim 2015","2 Trim 2015","3 Trim 2015","4 Trim 2015","1 Trim 2016","2 Trim 2016","3 Trim 2016","4 Trim 2016","1 Trim 2017","2 Trim 2017","3 Trim 2017","4 Trim 2017","1 Trim 2018","2 Trim 2018"
"57","Formosa","agro","AR-P","Formosa",1356,1400,1421,1441,1454,1501,1514,1614,1624,1555,1439,1441,1545,1609,1758,2100,2050,2243,2331,2424,2411,2473,1924,1733,1706,1705,1614,1596,1527,1450,1451,1449,1513,1539,1466,1508,1576,1644,1632,1685,1760,1750,1724,1745,1840,1841,1823,1871,1905,2003,2020,2022,1985,1997,1962,1873,1828,1865,2003,1947,2062,2051,2139,2077,2079,2063,2097,2144,2123,1974,1984,2021,2022,1992,1987,2000,2004,1969,1989,1985,1989,1961,1958,1978,1997,1952,1899,1856,1905,1918
"58","Formosa","com","AR-P","Formosa",2606,2651,2700,2713,2758,2801,2886,2888,2948,3019,2935,2856,2893,2858,2904,3088,3044,3074,3228,3445,3576,3509,3420,3092,2927,3008,2950,2917,2915,2933,3128,3200,3247,3288,3228,3364,3440,3520,3659,3726,3728,3885,3894,4158,4251,4224,4458,4560,4718,4649,4833,5003,4968,5196,5358,5418,5486,5535,5694,5863,6039,6211,6237,6393,6493,6476,6617,6719,6745,6711,6740,8200,8247,8264,8454,6925,6945,7001,7085,7085,7068,6993,7078,7161,7289,7257,7286,7331,7227,7100
"59","Formosa","const","AR-P","Formosa",1387.75296212942,1953.07079787522,1981.24680010267,2091.189804281,2442.83370367804,2716.67504820023,3563.09084809852,3817.71508102447,3638.67014018635,3308.04512048299,3021.1249854203,2752.76494847788,2580.31189523437,2275.73745766293,2217.51644002373,2062.30028093206,1746.79096430916,1437.7058260761,1280.85589148093,1256.6318491079,1377.13239703182,1410.08597137448,1034.40186882372,758.544659508309,596.261282322805,542.576966155006,434.59523115625,509.866580344833,514.977619638532,659.44080977668,751.874132538037,852.567987222241,1218.39199342504,1393.98592163517,1786.43576099384,3051.14448842305,3881.65213517546,4644.01088472651,4783.08883955916,4222.89674088151,3884.23587279083,3924.15232281139,4317.82658429779,5261.04861239847,5856.59930481552,6275.79210208295,6628.76717029233,6303.08061463471,5802.47635117151,5839.57577775996,4787.88664575068,4826.80871149069,4799.48814126459,4900.62513992044,5123.78886081166,5197.85313780671,5495.82562282334,5495.18264116714,5711.4358001825,6247.75737084377,6630.07174694879,7217.68514140954,7537.37420217231,7459.72014040695,6859.99137077708,6347.4624276578,5935.70764207753,5907.31811609574,6184.20150590263,6447.24314219619,6586.93976444226,6562.00048947503,6719.11470586521,6496.63037965003,6103.50169308213,6305.67026222645,6754.35509788381,7501.59629753779,8164.53809875381,7731.68407633452,6693.1366292202,6494.54175586667,6005.06465874643,5877.69997276643,5710.44885213185,5590.11777312286,5668.66558947559,5454.79572457317,5442.11383715414,5524.53240954752
"60","Formosa","ind","AR-P","Formosa",1441,1566,1541,1486,1559,1583,1602,1544,1567,1652,1685,1653,1413,1427,1406,1401,1360,1310,1323,1244,1250,1245,1223,1134,1079,1060,1057,1027,981,1044,1072,1162,1181,1239,1276,1356,1279,1326,1327,1514,1499,1552,1399,1484,1528,1574,1631,1588,1613,1629,1588,1612,1610,1659,1678,1652,1587,1599,1564,1591,1717,1712,1683,1693,1656,1675,1786,1774,1667,1671,1654,1616,1636,1642,1646,1626,1668,1658,1659,1696,1680,1756,1737,1699,1738,1745,1728,1735,2770,1664
"61","Formosa","ot_bs","AR-P","Formosa",552,537,514,476,447,439,455,459,487,458,422,412,420,472,463,520,505,489,451,437,434,423,414,410,372,368,376,381,385,379,375,376,392,383,518,481,510,520,487,413,383,365,369,359,319,311,320,333,279,273,271,293,328,312,307,299,529,660,677,711,286,295,296,293,781,776,768,810,853,852,872,875,865,870,868,870,883,887,902,907,907,904,911,914,920,933,954,955,950,951
"62","Formosa","ot_ss","AR-P","Formosa",4925,5028,5217,5223,5303,5379,5559,5647,5844,6036,5806,5762,5708,5618,5548,5826,5567,5540,5590,5584,5559,5645,5730,5916,5421,5244,5216,5160,5076,5404,5782,5954,5402,5491,5639,5800,5998,6174,6729,7135,6741,6874,6996,7393,7189,7181,6802,7404,7042,7280,7337,7726,7772,7712,8282,7848,7929,7667,7696,7950,7807,8236,8602,8732,8821,8665,8073,8084,8162,8086,8289,8496,8476,8412,8456,8679,8694,8883,9250,9656,9342,9285,9111,9347,9089,9184,9717,9411,9482,9414
"63","Formosa","pesca","AR-P","Formosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,17,8,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,8,7,7,7,7,0,0,0,0,0,0,0,0,8,8,8,8,8,8,6,6,6,6
"64","Formosa","Total Nacional","AR-P","Formosa",12014.7529621294,13127.0707978752,13520.2468001027,13631.189804281,14227.833703678,14266.6750482002,15419.0908480985,15806.7150810245,15914.6701401864,16351.045120483,15662.1249854203,15232.7649484779,14949.3118952344,14640.7374576629,14685.5164400237,15349.3002809321,14642.7909643092,14469.7058260761,14622.8558914809,14821.6318491079,15043.1323970318,15165.0859713745,14218.4018688237,13535.5446595083,12636.2612823228,12466.576966155,12175.5952311563,12120.8665803448,11927.9776196385,12410.4408097767,13117.874132538,13571.5679872222,13516.391993425,13900.9859216352,14346.4357609938,15079.144488423,16174.6521351755,17308.0108847265,18130.0888395592,18282.8967408815,17612.2358727908,17985.1523228114,18330.8265842978,20041.0486123985,20664.5993048155,21095.7921020829,21342.7671702923,21726.0806146347,21089.4763511715,21409.57577776,20582.8866457507,21197.8087114907,21134.4881412646,21464.6251399204,22403.7888608117,21988.8531378067,22325.8256228233,22161.1826411671,22668.4358001825,23598.7573708438,24255.0717469488,25427.6851414095,26198.3742021723,26354.7201404069,25913.9913707771,25232.4624276578,24516.7076420775,24636.3181160957,24888.2015059026,24896.2431421962,25260.9397644423,26902.000489475,27100.1147058652,26806.63037965,26646.5016930821,25535.6702622264,26065.3550978838,27012.5962975378,28147.5380987538,28153.6840763345,26780.1366292202,26497.5417558667,25897.0646587464,26070.6999727664,25831.4488521318,25736.1177731229,26304.6655894756,25793.7957245732,26832.1138371541,25626.5324095475
"65","GBA","agro","AR-B","Buenos Aires",4520.45408647834,4524.21916107357,4545.94677962612,4469.68211655035,4566.60734309861,4664.36388182184,4904.84338784126,4988.29119558738,4984.7286736261,5265.00339040464,5004.12533553889,5070.1521997198,5706.29554181664,5203.59045366591,5103.92189054718,5453.88322015082,3843.4143158452,3826.78744482228,3773.81147148319,3772.42920514956,3664.47566500211,3728.15612743968,3961.37267504144,3740.98964316965,3747.80855263751,3775.48745643301,3726.50954766961,3783.09225574642,3888.34622708108,4009.08495996252,4142.48240760963,4213.4419533934,4436.9739143542,4594.3502740071,4830.46040860676,4983.69641450125,5023.71804214118,5246.53550049191,5455.77554653862,5573.24531373554,5821.52949790561,5832.64417487535,5891.69434876112,6051.39875253987,6171.74686632237,6266.80745473671,6513.77573563664,6527.57479200645,6591.08332051262,6777.1770384212,6707.84209630484,6773.25464422506,6638.73655028243,6428.54584308541,6430.29298723189,6580.02987160766,6622.80197285386,6622.07977283905,6544.24925790926,6741.78630268028,6585.76564969643,6670.02212549841,6805.48943605065,6830.81746786983,7039.09457520487,6728.4499097047,6520.06144904082,6356.39020507867,6336.49276510427,6413.49497580812,6284.48431583965,6141.48270184894,6251.97308711278,6131.76294251407,6195.23539498995,6207.44284834762,6031.7269614649,6186.46270490497,6331.15526688478,6397.62116141529,6350.7453085456,6338.19162261077,6484.85564952999,6596.53033826612,6544.35629053403,6645.01979007565,6511.52415325371,6503.9781829113,6743.67026775556,6823.39500702083
"66","GBA","com","AR-B","Buenos Aires",99207.3750567343,100468.814185641,102360.327193685,104832.435824479,107048.376424448,108810.787410149,110802.380884586,112694.195110348,114636.651864704,120164.017071565,118052.952739334,115128.002682661,115447.744135383,109946.018558746,107501.660751956,116458.593935189,110960.941604422,110791.716433445,111053.498068911,115329.362625515,119686.649330542,121342.379828639,119873.877584187,116630.483750991,111504.884068509,108210.437550561,105442.65533712,104335.187955998,105264.547403306,106807.093484567,110478.339358762,113309.870922791,117100.305283755,121200.908641688,128032.767904362,131995.327329476,135807.304825588,138978.240644882,141764.60825583,146104.257677798,149741.912719879,152508.06749663,154875.822903313,155860.989935828,162532.152685741,165474.032241227,169001.91232662,174671.428136712,178168.552202461,182024.263441257,184884.691351135,185404.919425337,184693.920310279,184643.356775994,185154.408861707,186500.591877324,189342.180283288,191253.431678147,192918.454124385,196459.265695856,199173.10839789,199481.562338646,201260.557610743,203627.004313426,204379.340565807,205430.316245772,205820.291101476,206829.831925613,207498.717790875,208497.941349066,209562.51622058,209048.770873165,209053.929370694,208724.819132432,209419.649966748,209690.202291817,210792.804790205,212834.123638396,214314.308577307,215334.415797247,217533.815289976,221292.729484166,220083.715104013,221160.994640396,221458.575772855,221359.984543592,221903.311219057,222767.186252286,223347.813176978,222920.733962954
"67","GBA","const","AR-B","Buenos Aires",30532,31092,33446,37321,45124,42405,43858,44532,43766,44036,44662,43998,43733,42391,44012,46918,39231,36558,36174,36569,35652,33832,32313,28378,20859,17755,17777,19399,21130,22712,25262,27112,28552,30175,32869,34554,36354,38344,40743,43676,45794,49505,51701,54881,59480,62389,63891,64273,64752,66028,66658,65286,62016,62640,62396,62554,61659,63428,65386,65612,66649,67870,69681,71024,70321,69511,68875,68297,67184,67408,67896,68293,67805,68924,68418,68532,69970,71273,71747,70271,66703,64516,63738,64284,65808,68251,71523,72124,72031,71415
"68","GBA","ind","AR-B","Buenos Aires",249728.869395429,251152.207202738,253059.077227375,253559.82809307,254920.336411108,257379.480766822,258553.797431185,260697.152860211,260120.03197672,264614.639182764,255219.158541685,250353.792260459,247730.039833902,238761.578120289,234010.469011471,249043.20838242,236594.14927503,233192.91264457,231754.205450104,229639.751715419,228216.590733809,222252.890334907,217294.972223796,211374.475002651,201576.215058178,196647.905856569,194979.085472296,196451.546363442,201660.93939648,207309.427794472,214568.38170435,222245.64421819,230349.482300706,238370.758385851,245733.472904442,253807.188889613,260346.999044431,267683.614037928,273362.250517012,280815.610613915,286845.376040366,293348.690032717,299295.578281925,303353.842744679,308785.518291015,314628.302974732,321304.780309537,328707.029556091,335987.911114298,341771.665892988,343300.93660214,340153.891447414,332801.948691975,329411.333500865,328294.474182636,330436.836767039,333720.575119459,336520.945427598,338381.177404532,339408.532596358,342686.242590184,346165.064109978,350819.507802734,353510.449202256,355326.705286282,355935.2054811,355485.232142177,357090.863330422,357669.720530004,357849.889438413,358660.665304166,359123.682071552,356541.911264365,353972.260876053,350642.226749759,349869.900479608,350270.566500788,353272.302980611,356120.943558881,355824.750230697,355632.630821195,353109.821006419,349956.800074618,347333.023881037,345897.656631857,343802.673221963,342014.118076035,339643.369512704,337638.143448496,334548.212426122
"69","GBA","ot_bs","AR-B","Buenos Aires",8135.56830069353,8129.8378753814,7999.19962756256,8147.96760092359,7553.49196113776,7512.37002574797,7475.79942636841,7393.20228894063,7386.3781760808,7986.07112694939,8588.67443761936,7870.62271925984,7084.18746501305,7627.51687822326,7655.54925056785,8046.80146032056,8849.44063029848,8764.55398268737,8730.39840999305,6284.76337501129,6335.72239759901,6284.67749301717,6414.14191959249,6337.92894531868,5893.88814726251,5670.59816754998,5856.02118328816,5868.46622550095,5872.85396809721,5914.04711835201,5929.58239376985,5942.6429948897,5963.08617842626,6160.54543048193,6258.86552577108,6299.61386513492,6335.18227362483,6396.2352276438,6526.68594540624,6695.01236555759,6656.88776225225,6680.21847801099,6758.73133561118,6926.37518376931,6961.11546435042,5185.40945253541,5192.18569915852,4980.98094312716,6172.35006905774,6156.32163603781,5423.01666448015,4982.89704580253,4919.5915274903,4905.59093415764,4854.54618284176,4803.40910350569,4819.11744368284,4923.00703802481,5045.51697522334,5158.00351496545,5196.49615042115,5355.17288381124,5404.2765757112,5459.81814484429,5463.68330228393,5484.91925438498,5546.16091814423,5549.21576867976,5604.89824920635,5692.04218415861,5758.70751582889,5835.51997569305,5872.39837332983,5888.5847715707,5931.77192868925,5974.65542464972,6164.43242496139,6083.01709600229,6091.42995018642,5421.2087320726,5461.10138362651,5495.87556614816,5675.11388326774,5620.63454862645,5985.63005493632,6119.66052132922,6280.00292018125,6494.84625749911,6576.93338029291,7492.32187177591
"70","GBA","ot_ss","AR-B","Buenos Aires",232510.518438215,239550.843445142,248013.730319969,249865.144020877,248293.078719418,254183.551321499,264295.575662806,280916.38798795,308571.552654997,331592.030124603,333129.506668562,331704.514304653,330115.231681919,322423.385524625,320490.978311938,344338.629285269,324609.657396697,325227.075295667,326645.42266514,326003.550838908,329370.389559981,330341.164986288,328126.531426853,323797.544483935,309895.805938695,305542.727383722,305001.717821081,307655.537929919,312615.101979009,320320.401550512,324414.926452408,330378.228873259,336296.338289366,344399.286677995,355468.273198389,362452.357262048,371595.263429979,378993.49021076,385996.040066886,394304.564817806,401709.55028588,408687.106511282,417673.545958728,427715.982558975,434926.969074093,444276.325512502,450258.297709486,460998.978004583,466128.965202961,472219.096488461,474714.557237115,471051.312432272,467435.622908946,465524.321002695,469608.077988519,473493.522729954,480840.463244626,488136.671794973,494640.619271845,500200.183894585,507879.969982174,512117.871778887,515837.193508355,520881.143732593,527260.075858321,527996.488975098,527718.81222906,530190.154903495,530907.242672203,534251.830739609,537415.195512569,535687.900553517,533644.878092661,535089.504264473,536868.021673126,540143.947449799,545989.84703114,552813.580588979,556284.46493448,559980.536738166,557718.473844801,553659.500618833,552263.444750803,553359.544032169,554035.693808329,553424.390179925,554726.761242364,553862.341864223,556498.687979973,559883.429021808
"71","GBA","pesca","AR-B","Buenos Aires",0,0,0,0,2,3,19,17,20,54,44,32,139,104,143,137,0,0,0,0,0,0,0,0,7,7,9,9,0,0,0,0,12,18,18,17,26,37,39,42,30,38,51,49,37,54,28,24,23,29,29,13,15,23,34,25,27,28,26,32,32,47,55,50,47,63,44,48,64,66,85,76,82,89,57,53,55,59,61,89,95,102,104,89,93,96,95,93,90,92
"72","GBA","Total Nacional","AR-B","Buenos Aires",621302.626080362,631607.201438277,646348.08855868,655093.6070302,665112.402413038,672642.679530713,687788.77025023,709249.303729808,737558.783314891,771189.373071621,761596.662539505,751832.622365637,748420.5269617,724434.470906532,716954.072150071,768108.022338858,721074.682567687,715468.890191834,715289.522427209,717245.866313681,722564.760713984,717661.023702235,707652.77100588,690012.922830933,653011.922350092,637399.659630911,632431.843744315,637308.478388373,650179.569554503,667143.63784445,684985.790444459,703539.188887815,723241.94604568,745335.237359834,774444.296287576,787809.569895638,809153.285342139,829282.880394062,847360.674386267,870515.678423255,889942.368544031,909919.508215504,929488.641492727,947912.213992022,971933.386917171,993088.468183198,1010997.76608128,1035202.01048939,1051651.51184023,1068849.20286113,1076295.02728669,1068682.37794925,1053601.22846148,1048670.55712264,1051917.25402009,1059589.98124592,1072212.02062023,1085989.12867356,1097896.50005867,1108453.76848948,1123006.08661994,1132351.52035301,1144458.74835788,1155923.41471614,1164373.21628561,1165664.46061167,1164463.39692175,1168812.24036461,1169660.17375819,1174487.1565029,1179903.86135315,1178370.83620008,1173379.69181483,1172931.34721547,1171600.13378462,1174496.49306957,1183109.9452836,1196438.46991289,1204858.87233755,1207897.32392753,1204033.66526452,1199018.24273203,1192630.81557896,1192823.09289187,1193837.28250358,1193579.06773556,1196773.71469071,1194993.87581212,1196349.3148732,1195682.7704179
"73","Jujuy","agro","AR-Y","Jujuy",6060.66557119303,6710.68610289402,7023.46412688204,7177.97634990622,7359.30632075158,7571.693573791,7887.33630776145,8073.10347842716,8094.30172093085,7738.67310640605,7821.80474208598,7738.52651875931,7456.9121562387,7259.38675536435,7279.52457237117,7270.24887707591,7814.03140639686,8105.80240342834,7631.91791536403,7371.79291403128,7609.5236955115,7780.87480139935,7716.1271821874,7702.56165528118,7491.99324794793,7365.14042363741,7153.43118452374,7174.58193545695,6958.12579730725,7195.32743766385,7888.6166222271,7988.98603234661,8045.91054565832,8100.73438655838,8035.00241294162,8284.70534088711,8597.70462373059,8435.20789468023,8373.89225226906,8108.49633473508,8061.40713470509,8190.96046493329,8212.55752783424,7995.97554956717,7766.22593478763,7940.07753640139,7898.1999070901,8153.05970228558,8365.07472194635,8364.88842555692,8530.03364920674,8636.14791093977,8424.76095151942,8661.8142053087,8907.37020178337,8918.98813109508,9128.83605343217,9066.72202231035,9585.27782470593,9859.83065414137,9437.60482192917,9402.17166047706,9068.72034528337,9022.92621154677,9120.16678927847,8921.13905113598,9231.87821807854,9284.5207733754,8762.18887459793,10050.2263109639,9793.80589143066,9679.24397704364,9382.75014722972,9515.75438854695,9973.46964203735,10134.3879992087,10289.0361490474,9799.20354471776,8925.3618208618,8906.96492892495,9092.06009446878,9127.39852628309,9457.00707749672,10121.8162928017,10745.4092502464,9565.79220501532,10346.2952176112,10929.733271105,10215.6014495779,10091.994864353
"74","Jujuy","com","AR-Y","Jujuy",3629,3699,3652,3918,4110,4191,4312,4392,4530,4540,4559,4553,4372,4341,4401,4716,4800,4780,4835,4877,4862,4797,5412,5181,4783,4606,4614,4594,4537,4599,4694,4798,4870,4928,5008,5055,5131,5247,5282,5602,5545,5565,5751,6193,6219,6254,6531,6771,6919,7102,7289,7405,7492,7574,7883,8267,8458,8462,8637,8851,8879,9030,8986,9248,9232,9224,9300,9572,9605,9550,9798,10019,10158,9988,9938,9990,9989,9960,10121,10249,10422,9959,9995,10052,10224,10072,10088,10324,10449,10373
"75","Jujuy","const","AR-Y","Jujuy",1671,1800,2403,2412,2343,2570,2697,3286,3277,3229,3886,4590,4183,3420,2750,2610,2675,2843,3133,3551,3269,2968,2697,2411,1536,1092,1045,1481,1705,1648,1712,2081,2328,2591,2710,3081,3316,3629,3436,3997,3999,3860,3536,3398,3589,3652,3572,3656,3274,3497,3578,3657,3886,4350,4203,3699,3588,3814,3614,4072,4051,4237,4128,4570,4362,4244,3863,3789,3751,4079,4129,4284,3956,4172,4315,4642,4479,4578,4629,4405,3686,3926,4166,4380,4206,4635,4983,5370,5352,5874
"76","Jujuy","ind","AR-Y","Jujuy",9817.1462785661,9183.84048172686,8848.57368268054,10739.4076463601,10479.455339511,10193.5130965639,8695.38364285446,9089.43123751047,9141.40438682345,8941.72752057424,8345.66615834117,8362.1919109161,8332.55357303841,7942.95601559812,7788.95164905063,10163.7042797508,8758.90512196422,8575.34975759064,9539.28946828818,8895.88882085779,8590.46993094515,8849.68817084834,9401.17725691891,8855.03237254068,7982.44533575994,8310.7606361332,8459.68475908549,8426.80062477535,9695.26423998075,9751.04157133266,9889.14159284931,10219.7395160461,10612.0034106649,10515.6884640933,10562.6031815143,10659.4663541062,11118.0036012876,10940.8103705972,10697.8682329114,10569.4025211187,10507.9204296429,10668.2967217656,10670.346024451,10774.9579197559,10641.4527904989,10860.2641321977,10858.5944058699,10981.3159737289,10076.9692039874,10500.7961223675,10661.5982717316,10628.2067766378,10655.5467316328,11130.7445918305,11719.9775572854,11698.4934392638,10760.6453148208,11332.4898996773,11178.7318529732,10544.5855701607,11284.8203575109,12345.1863707394,12006.682496731,12426.303016193,12345.1288636336,11809.0488370232,11553.945044138,11808.5972578142,11772.8859805213,11580.2261578681,11390.9213304485,11506.4082204071,11331.1755730165,11428.4385613076,11846.9037938993,12017.3791279334,12107.1239041933,12154.3946144217,11909.5085578456,11840.0785069337,11993.3490621566,11694.9912875287,11709.6110540206,11680.2251078871,11699.4897801407,11789.3886900597,11617.5646436923,11513.7015326968,11391.8897444676,11283.7246899511
"77","Jujuy","ot_bs","AR-Y","Jujuy",174,191,191,423,1117,1112,1119,1239,1334,1352,1274,1212,518,608,458,494,544,535,519,533,557,598,538,500,490,511,516,533,442,450,470,490,478,529,507,486,486,488,492,505,1675,1675,1752,1800,1933,1864,1921,2201,2110,2150,2264,2273,2142,2158,2184,2191,2285,2232,2290,2394,2496,2484,2501,2584,2595,2558,2587,2632,2618,2602,2557,2491,2475,2475,2495,2546,2552,2514,2525,2501,2486,2488,2459,2456,2380,2320,2319,2445,2583,2738
"78","Jujuy","ot_ss","AR-Y","Jujuy",8659.89858150066,9123.49061972243,9465.03292429165,10077.4353420252,10717.9137292897,11043.5536500103,11143.8464302674,11504.6054189773,11697.7135872203,13719.290392779,13621.2328678922,13075.666683804,12956.3612616027,12747.2589405659,13659.3713462859,14269.7284532266,12465.1475430369,12597.7724459333,12628.7274055439,12592.3675569848,13144.8663401587,12980.546301244,11809.2626543097,11754.2316492641,11300.2867272521,11338.1761978953,11209.2635381905,11301.7569408109,11306.9941581988,11806.3134726206,11611.9064602513,11765.9777150161,12020.866839537,12287.8302881399,12600.0149672522,12825.9221995114,13272.2152109115,13361.1965635272,13450.2228849393,13720.1696989516,14101.5537887038,14253.5736076392,14675.5232850141,15290.5416553937,15481.663689419,15752.1941445928,15850.2598628803,16300.9400488513,16475.3361407478,16894.4630721038,17159.843639136,17113.066275084,17114.8759168102,17249.4914562724,17617.8279793814,17453.9279477058,17803.7635804551,18089.6119833499,18104.187725395,18214.0271298134,18679.2433375211,18719.7190760621,19293.7987428658,19463.2017468349,19535.8675955091,19600.1034887025,19236.2293107601,19519.8955097211,19425.506874207,19787.8810725016,19930.9171342741,19951.0301389417,19880.4818974102,19922.487529707,19873.3595822183,20624.0029906838,20439.7244461138,20763.2973790735,21208.3400463588,20938.9410300234,20735.060788025,20425.5799392718,20753.8428853001,21100.5388457816,21269.6997567075,21294.8163380785,21353.4753573633,21441.8992854003,22109.5296896998,22415.1926825695
"79","Jujuy","pesca","AR-Y","Jujuy",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Jujuy","Total Nacional","AR-Y","Jujuy",32031.7104312598,32802.0172043433,33624.0707338542,36614.8193382915,37403.6753895523,38065.7603203652,37219.5663808833,38846.1401349149,39324.4196949746,40763.6910197593,40791.7037683193,40906.3851134794,39932.8269908798,38328.6017115284,38480.8475677077,41586.6816100533,39004.084071398,39376.9246069523,40242.9347891961,39783.0492918739,40021.8599666153,39928.1092734917,39549.567093416,38428.825677086,35596.72531096,35200.0772576659,34971.3794817997,35437.1395010432,36658.3841954868,37379.6824816171,38115.6646753277,39172.7032634088,40321.7807958602,41006.2531387916,41653.6205617081,39906.0938945047,41434.9234359297,41613.2148288046,41239.9833701198,41997.0685548054,42214.8813530518,42537.8307943381,42845.4268372993,43652.4751247168,43697.3424147055,44458.5358131919,44710.0541758403,45862.3157248658,45110.3800666816,46359.1476200282,47218.4755600743,47439.4209626616,47577.1835999624,48970.0502534116,50336.1757384502,50043.4095180647,49739.2449487081,50764.8239053376,51119.1974030741,51541.4433541155,52331.6685169612,53734.0771072786,53483.2015848802,54730.4309745747,54595.1632484212,53798.2913768617,53185.0525729766,53974.0135409107,53316.5817293262,55047.3335413336,55042.6443561533,55439.6823363924,54708.4076176564,55026.6804795615,55946.7330181549,57407.7701178259,57303.8844993545,57254.895538213,56793.2104250662,56339.9844658821,55928.4699446504,55132.9697530836,56081.4610168174,57334.5802464704,58144.5987870946,57356.9972331535,58388.3352186668,59579.3340892021,59518.0208837453,60037.9122368736
"81","La Pampa","agro","AR-L","La Pampa",5012.84691832809,5042.58872363862,5185.36756798436,5234.96267934403,5247.60333992039,5238.84824736258,5217.12877391208,5293.74087151531,5363.61439835618,5410.09560807388,5330.13341089973,5330.13026297785,5357.09526793229,5089.91882712517,5137.92095997416,5450.25688325198,5144.63136077607,5040.42900325991,5027.15934814425,4984.73472109779,4945.28360902156,4919.04563864406,4832.86391798779,4794.00403792624,4714.50674033716,4829.21307943873,4722.97647729872,4886.89683397876,4992.50332092574,5265.4378534948,5423.07618398048,5416.20526282735,5425.01793541738,5423.05020793114,5524.08108045646,5647.66710760815,5779.67314242652,5808.50833293491,5905.8610387428,6103.99923521159,6141.76213438369,6180.33084354697,6152.71125492874,6127.91500218493,6137.44181860763,6183.09323793517,6170.45877207766,6045.19502351815,5953.92628388632,5921.25967146698,5925.12926130773,5882.14220782226,5747.37915524489,5454.53940623622,5335.26569309329,5308.63383551605,5071.55156274237,4998.20203541139,4943.6527904282,4959.7339411042,5073.38431717752,5149.61024589864,5118.20638492252,5105.79758324331,5054.64395093613,5041.18091228492,5069.68609395697,5060.01690929233,5040.271717184,5039.42092828738,5002.69335959825,4972.21497215492,4898.10158840537,4822.39833240693,4775.55854618494,4737.14471034239,4691.55783929017,4653.65698132962,4530.15980749767,4409.99605659753,4449.99831123737,4435.25824511178,4499.54909012971,4537.27596032884,4502.981640758,4439.39786864407,4459.04191465004,4362.70681383575,4339.06422229735,4335.80927826843
"82","La Pampa","com","AR-L","La Pampa",4658,4771,4937,5007,5001,4969,5057,5202,5360,5485,5273,5257,5364,5435,5389,5793,5612,5448,5404,5375,5392,5375,5366,5269,5139,5030,4961,5003,5321,5466,5311,5416,5705,5755,5907,6096,6397,6380,6531,6813,6988,6926,7057,7254,7402,7445,7647,7972,8242,8435,8625,8853,8733,8377,8402,8427,8598,8526,8510,8688,8746,8798,8894,9220,9255,9207,9217,9340,9391,9314,9275,9344,9304,9221,9225,9321,9347,9348,9413,9488,9563,9500,9446,9616,9746,9661,10191,10312,10413,10359
